age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,income
39,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,<=50K
50,Self-emp-not-inc,Bachelors,Married,Exec-managerial,Husband,White,Male,13,<=50K
38,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,<=50K
53,Private,11th,Married,Handlers-cleaners,Husband,Black,Male,40,<=50K
28,Private,Bachelors,Married,Prof-specialty,Wife,Black,Female,40,>50K
37,Private,Masters,Married,Exec-managerial,Wife,White,Female,40,>50K
49,Private,9th,Married,Other-service,Not-in-family,Black,Female,16,<=50K
52,Self-emp-not-inc,HS-grad,Married,Exec-managerial,Husband,White,Male,45,>50K
31,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,50,>50K
42,Private,Bachelors,Married,Exec-managerial,Husband,White,Male,40,>50K
37,Private,Some-college,Married,Exec-managerial,Husband,Black,Male,80,>50K
30,State-gov,Bachelors,Married,Prof-specialty,Husband,Asian,Male,40,>50K
23,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,30,<=50K
32,Private,Bachelors,Never-married,Sales,Not-in-family,Black,Male,50,<=50K
40,Private,Assoc-acdm,Married,Craft-repair,Husband,Asian,Male,40,>50K
34,Private,HS-grad,Married,Transport-moving,Husband,White,Male,45,<=50K
25,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,35,<=50K
32,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Black,Male,40,<=50K
38,Private,HS-grad,Married,Sales,Husband,White,Male,50,<=50K
43,Self-emp-not-inc,Masters,Married,Exec-managerial,Husband,White,Male,45,>50K
