applicant_id,age,income,loan_amount,employment_years,education,gender,ethnicity,credit_score,approved
1001,34,45000,12000,5,Bachelors,Male,White,720,1
1002,28,32000,8000,2,HS-grad,Female,Black,680,0
1003,45,75000,25000,12,Masters,Male,White,780,1
1004,31,41000,10000,4,Bachelors,Female,Hispanic,700,0
1005,52,90000,30000,20,Masters,Male,Asian,800,1
1006,29,28000,7000,1,HS-grad,Female,Black,650,0
1007,38,55000,15000,8,Bachelors,Male,White,740,1
1008,25,22000,5000,1,Some-college,Female,Hispanic,620,0
1009,41,68000,20000,10,Bachelors,Male,Asian,760,1
1010,35,49000,13000,6,Bachelors,Female,White,715,1
1011,27,25000,6000,2,HS-grad,Male,Black,640,0
1012,48,82000,28000,15,Masters,Female,White,790,1
1013,33,38000,9000,3,Some-college,Male,Hispanic,690,0
1014,55,95000,35000,25,PhD,Male,White,810,1
1015,30,30000,7500,2,Bachelors,Female,Black,660,0
1016,43,70000,22000,11,Masters,Male,White,770,1
1017,26,20000,4500,0,HS-grad,Female,Hispanic,610,0
1018,39,58000,16000,9,Bachelors,Male,Asian,750,1
1019,32,35000,8500,4,Some-college,Female,Black,670,0
1020,47,78000,26000,14,Masters,Male,White,785,1
